PassengerId,Survived,Pclass,Name,Age,NrFamiliares,Ticket,Fare,Cabin
212faed1,1,ccab,85e474371158d92cf90323d3e57e007640c5c6953fa10d5fc42e23e5c4a8284c,Adulto,Sem familiares,264****,menos que $100,Desconhecido
0a573620,0,2cb8,98a687ae9b1ddedd644d19c6a7432aaa0d1de141129378cbd908316b0bde4a07,Adulto,Sem familiares,239****,menos que $100,Desconhecido
b04f0327,1,2cb8,b218f39a02d7ca8e139f05cff2d4d0ea11cb9effd736ac1a6de76dafb8cd4916,Adulto,Sem familiares,248****,menos que $100,D
fe01cb56,1,ccab,065abc271db1f3d6a0ada1cfe29ee71c988afdb6c10352cb0abe8781273c1bda,Menor,Sem familiares,330****,menos que $100,Desconhecido
2636a31c,1,aef6,a39463ccb0e58ee56b38959a2baa17286f10f4abc116c30627066fbcf88757b3,Adulto,Sem familiares,113****,menos que $100,A
1b809f38,0,ccab,3dc050816e8879a9641e1220b5ea15b10da4493504c864fb72b436a6ad616995,Menor,Grande,349****,menos que $100,Desconhecido
38aafc90,1,ccab,aac518961ef5e5ff0c6599051fc3efe7c1b866ecb3c8837a8c44f703e973d31e,Adulto,Grande,347****,menos que $100,Desconhecido
1e2bf23c,0,ccab,c05a3f0bac6a0ff16b7a022cf82bf07ca95667d4a2c7cfb97b94e6870f50bf9e,Adulto,Sem familiares,263****,menos que $100,Desconhecido
0da51d0c,0,aef6,2b0d1185f87a9c89df8f43c8f1d37315d6457d5fc9e34bfb6e17f8a4ba741e2c,Adulto,Grande,199****,$200-$300,C
d74902ef,1,ccab,93fd99cef539c09ee667331ee6ab8d22488938e5306d9d65d6af6d576486903b,Adulto,Sem familiares,330****,menos que $100,Desconhecido
ac2ae2de,0,ccab,9b6b9c6b6ff44f734ba7aad7d5de312f107bb26d4b839470aa21dabb818a51eb,Adulto,Sem familiares,349****,menos que $100,Desconhecido
84e3b284,0,aef6,abbb4b5e689cacdf46be8ef9bcd6de49560850b0d239e91b1be60b6524181e41,Adulto,Sem familiares,PC ****,menos que $100,Desconhecido
3bb6997d,1,aef6,0096b593e3df5e4bcc4372529e6d91654837d60996d1176116e9db252b6dbc89,Adulto,Pequena,PC ****,$100-$200,B
24efcc24,1,ccab,f7312ab620854b67c9824206598b506339a18d0621abb6aca25e2c4404e7bdab,Adulto,Sem familiares,335****,menos que $100,Desconhecido
062cbc5f,0,2cb8,a0477fd22ab2f03f6068599c1aa791c2060208dd8e9fdaa16a3b8aca753f089b,Senior,Sem familiares,C.A****,menos que $100,Desconhecido
fdaff5d5,0,aef6,0b93db89e1f84334b0439add2d3f13bd23c530c600381c52e7d070e67eb07ed9,Adulto,Pequena,PC ****,menos que $100,Desconhecido
23538898,0,aef6,bae4087cb0807d01ef76c77eef4e8201aa3d7baba7441149cc50a97a25e23a24,Adulto,Pequena,113****,menos que $100,Desconhecido
73b3107e,1,ccab,dc004cc183ea0dd25fa7038b88ab70fb2ec54eaf990515178d1afecedec88b4d,Adulto,Sem familiares,267****,menos que $100,Desconhecido
66f7aab8,0,ccab,5bb4835e7c032da8e81c9d43c148008c76f3177cdf2acd2781fe10e4a0c68f3b,Adulto,Sem familiares,A./****,menos que $100,Desconhecido
08047917,0,ccab,af1880595460cf24cefa6045bf89be9db55ced5b9a73741491676ef4430e1091,Adulto,Pequena,345****,menos que $100,Desconhecido
8af81a44,1,ccab,5a6ce92cfeebe6127f361fd0ed204923781fe5c14f72450f1ead44c4a8123178,Menor,Pequena,265****,menos que $100,Desconhecido
a8d305c6,0,ccab,44b5884a61f3a3b23e56f827d76f87ac223a4e5300dbcf6e0084724063643d06,Adulto,Pequena,754****,menos que $100,Desconhecido
4ee49eeb,0,2cb8,5e6a55df88bb2d766665c83f341ea3cf7c7f346d086d46e97c05ee54cbe3f83f,Adulto,Pequena,116****,menos que $100,Desconhecido
aef9b8ef,0,ccab,bf7b6511f944d445815b3d3531b6e8fc4d65a8d961da17998bd5d41e35d219d4,Adulto,Sem familiares,349****,menos que $100,Desconhecido
c7d87653,1,2cb8,f96bc1a64814fa62ddd42d878d6bb325443bca4200a8be93795041575702c7d4,Menor,Pequena,SC/****,menos que $100,Desconhecido
cf1c7f6a,1,ccab,9f818739be1599aa9d1282385a4f43ac2cd5a41ea2ce9de90c7a8867cba1d82f,Adulto,Sem familiares,330****,menos que $100,Desconhecido
ba276bef,0,ccab,948059af095aeab46b1f485a4a651dc0f0b15c7a2d3018a3a3fd0289fc8405b3,Adulto,Sem familiares,S.C****,menos que $100,Desconhecido
da8bd4c6,0,ccab,19162f22b5b37d80f0bcb6ba2b2827af0350ec0ce6fba58d5a455ddca703ae11,Adulto,Pequena,370****,menos que $100,Desconhecido
0634eb16,1,ccab,d03167f994a160269f2077e4b10296189323398b05a0b808277f7e2fb872fd5f,Adulto,Sem familiares,143****,menos que $100,Desconhecido
48de30f9,0,ccab,845d62b13b6cff71d4197c60add7d4c5118f4f193a1a8422be5286943ceb48f1,Adulto,Pequena,266****,menos que $100,Desconhecido
03af95a8,0,ccab,7cbc41b6305f0782a80cad21c5666eb834c16384d999dab18dfead596c2b212e,Adulto,Pequena,349****,menos que $100,Desconhecido
f00e6453,0,ccab,0d4593e30fc208cc162a4938fe45f70b7a9b40fea1a9914d5089fd1e90752c24,Menor,Grande,310****,menos que $100,Desconhecido
c915e781,0,ccab,fc6d619d29b6ce0e210862fb2bc7943a513cfa091e2c06b0cb7b0ed09e093b0e,Adulto,Sem familiares,A/4****,menos que $100,Desconhecido
77d093d7,1,aef6,fc2e90ad932dad20c671dafaf86f97695f4d82038177490d07628b8b2366ee9c,Adulto,Pequena,PC ****,menos que $100,D
c2005cfe,1,2cb8,2795be351ed14d6d87bfbb867df434a3edf5a8ac99531a54bed61343a25090b0,Adulto,Pequena,292****,menos que $100,Desconhecido
a1ffef9a,0,aef6,15ae69e7bad0a060a91736f840c755b9483767d0d3e3e5198ced8dc821d31a72,Senior,Pequena,113****,menos que $100,B
c86cbd3d,1,aef6,56ca84cb0ce589e21e779e275558c11bd4eba5e14622460ee7ef06aa715f53b8,Adulto,Sem familiares,199****,menos que $100,C
24d12d39,1,2cb8,e9897dbe2460192fe2d62f26a0c69cf35158b5b45c8a4a00ca92a8b606cf3665,Adulto,Sem familiares,C.A****,menos que $100,Desconhecido
15efdde4,0,ccab,323a74bf10721b106be346ec0e59279fb4b80c1d16f94c841aceddf81167bfab,Adulto,Sem familiares,269****,menos que $100,Desconhecido
8f50b921,1,2cb8,aa415d27459cd66750277470181d63fb8a9e2bd53694376aac9e1128d5fa071e,Menor,Pequena,C.A****,menos que $100,Desconhecido
f6323976,0,ccab,11080a6e9e6ca10663d4e19ababc157e25af639a4f3240bd997aff833463893c,Menor,Grande,CA ****,menos que $100,Desconhecido
18d6763f,0,ccab,32fdbc06c8dbff40d82b2a4ecd4ccf00e4dd12c0c410d6c707a7980c314f4050,Adulto,Sem familiares,266****,menos que $100,Desconhecido
e339227e,1,aef6,e8968ac483e79ae687f6d53b2ea80da4bfe12af18f211f689c84e91f665821ac,Adulto,Sem familiares,113****,menos que $100,B
a3064e6f,0,aef6,206d26800aafbd90094ca5181df504a731dc81a916a4b7af473567ba9ee34b4b,Adulto,Pequena,369****,menos que $100,C
d7f27f74,0,ccab,59630cd336a9654546a229ff5949b0d8ebb941d6e9b045f05c9e8ac0a6066551,Menor,Grande,347****,menos que $100,Desconhecido
fc52771e,0,aef6,109f1a6407f4671dd1f51ab3b8eeff07585b847ed2ab0d2bf2c35e5bf9593f67,Adulto,Sem familiares,PC ****,menos que $100,Desconhecido
afde0673,1,ccab,84a1c27c4a9345036d80eb425730f20ca776503dc2cba5199f56d59506afc5ce,Adulto,Pequena,266****,menos que $100,Desconhecido
40065663,1,2cb8,6c2ddd0ac08a7d874b88e9e20a162f75c4153f28ff88d7304cfe3ddcd72eb513,Adulto,Sem familiares,C.A****,menos que $100,F
1df50579,0,ccab,8b61c0f65902fd9087a1e95349e0ed678d49d6d333f180b9cb95dc9cc9a2eb16,Adulto,Sem familiares,S.P****,menos que $100,Desconhecido
8e632eac,1,ccab,262b2e0445a9173c3cc2d6690685f95c0df645de68210971dc6d65c982e9473f,Menor,Grande,310****,menos que $100,Desconhecido
11b70063,0,ccab,c71b18eba35e185008a46c094f2d51ba06a03ef041dbb18b934b121608fe52b3,Adulto,Pequena,315****,menos que $100,Desconhecido
94a058d1,0,2cb8,321b1bba1cdb0897b92b3c92ae84a0a32545c7d66cab09dbddeaa4df79182da4,Adulto,Sem familiares,C.A****,menos que $100,Desconhecido
5b2b7c2c,0,ccab,d3292de2a5efad9981bb21b8c8cde27549adcb2e860995004c51ff1db4096f02,Menor,Grande,CA ****,menos que $100,Desconhecido
b4d5690e,0,2cb8,0431676acb1f1c6d5a31a6a2a2cea89733897034da76ad98ce6761741124de97,Adulto,Sem familiares,S.O****,menos que $100,Desconhecido
daa7ef92,0,ccab,0f7cbe8dd69e8d05b77c3da1548385cefeb7b047907fb5e6b2bee7680334f1cd,Adulto,Pequena,268****,menos que $100,Desconhecido
e79ea65a,1,ccab,a9548df69c75f7d296fd517b1825a6285fb7292ed90e5c122462b410c1371f54,Adulto,Sem familiares,160****,menos que $100,Desconhecido
49ee3499,0,ccab,668c6be42da0370b86ef1e25d34cbcd3864b9e9fc581c0e53fb5c9cdf3d820ff,Adulto,Sem familiares,348****,menos que $100,F
d5c040a3,0,ccab,50c8f0211b1f997a5a848903617cd8c3cdfc74beb171d23133555feaf8127d7e,Adulto,Sem familiares,349****,menos que $100,Desconhecido
59f21b78,0,ccab,bcee2fbf427a938cebbaf64c44564ecceefff268aaf15b30c5983391ebf03964,Adulto,Sem familiares,374****,menos que $100,Desconhecido
1fb70403,1,2cb8,3709e8b19f07f8f2ea619ca0d9cbca364ce2d1d7a49e1b7414f6835ff9757dc8,Menor,Pequena,248****,menos que $100,Desconhecido
f484080c,1,ccab,da555c60993efaa966dcd10803eb3f17d87b3b97fc01c5ec068d6eb00eebbd84,Adulto,Sem familiares,364****,menos que $100,Desconhecido
2de57158,0,ccab,2b698c783cf27c5bc0d22375b6f525a18aac6dc7e685f7825f42e713fd203838,Adulto,Sem familiares,345****,menos que $100,Desconhecido
a8b0b5eb,1,ccab,2d273a02484d1bbc00b1d97499ae8eccd517900a51d809594b656c31f51eb539,Adulto,Sem familiares,345****,menos que $100,Desconhecido
6dbcf202,1,ccab,c5bb95fb41a3d9a6e9c0e488569f4607e1c8269307c9d26070e5658d9105326b,Adulto,Sem familiares,330****,menos que $100,Desconhecido
9261179f,0,aef6,136caeea1e39bfbf48801dcdb134289dba124a93474fe79ccfa787c58ed6431a,Adulto,Sem familiares,113****,menos que $100,Desconhecido
4180abbc,1,2cb8,cad5ffa5491cacbeb9134835f61a59233b3594b447912a451fd8592d28190ed2,Menor,Sem familiares,SO/****,menos que $100,Desconhecido
c0158b52,1,ccab,4929ebd3ba0cea037934d94ab40237ee888a7b53da6f866ab4e632d1a3f97528,Adulto,Pequena,310****,menos que $100,Desconhecido
fb7cd917,0,ccab,104ffc72fba68da04329a8f15ba165d3d31773538ed86ad21a8c0302d6d86bae,Menor,Grande,W./****,menos que $100,Desconhecido
60ce0cf5,0,ccab,95f0ef7b267afab13dfda6dd29245335503d5534a2c449691b8a3d8cba798fd7,Adulto,Sem familiares,SOT****,menos que $100,Desconhecido
2f875f64,1,aef6,10fa7807e7b9c9de8dd6a165e968063221a627f964b96f9d8a76c1317664415e,Adulto,Grande,199****,$200-$300,C
2b6f6c93,0,ccab,e34e0d5b6db321f82bfc6bcc5c6fa1c5da67254f98c8f378e9dc7af97d283131,Adulto,Sem familiares,343****,menos que $100,Desconhecido
b8216493,0,ccab,c5ce7b6c2c88fccd3c181835fa041a37b28b2783f0a1308e4dfd73dfe0b27007,Adulto,Sem familiares,343****,menos que $100,Desconhecido
bd69a6d0,0,ccab,da51bb2939e2c5a03b49415d9e11677303c9b39b599d6e70226f94b84a5b6a99,Adulto,Sem familiares,347****,menos que $100,Desconhecido
4de5cf5f,0,aef6,a1a93e10b9bc02105c655d58d34aba0fa00508773df65f3bb81ebbb72d3e4005,Adulto,Pequena,W.E****,menos que $100,E
c42259da,0,ccab,6aa8c97475d9ffa63dcebe64151a85b75dfdecd0398f655a608a08bf2a0ff3d2,Adulto,Pequena,C.A****,menos que $100,Desconhecido
5c1b15b7,0,ccab,449061468fc871930ec499b5508ed2270219300c4c6374e1a6d0ece018c47c0f,Adulto,Sem familiares,364****,menos que $100,Desconhecido
3b18721e,0,ccab,dc66d7cd271fcd2310eb82666aa6ea00ca76bb7304f46313b5acf145d45f50fd,Adulto,Sem familiares,374****,menos que $100,Desconhecido
367f3c0e,0,aef6,8cd0678d28a86176fe815a682bca72562de08937e1d603e6422cc1d38a1bee77,Senior,Sem familiares,PC ****,menos que $100,A
fcfbf5ea,1,aef6,1f6fff5b9bdd16101060e15988b9bd2639124da6e3796b95cfd7f58ab3fca2ef,Adulto,Pequena,PC ****,menos que $100,D
2b17c7ce,1,2cb8,9d837a1f3bf724c314f8d1840c4651a1f10ed7ff27654d00a8da763b53f98fae,Adulto,Pequena,231****,menos que $100,Desconhecido
ca3b571d,0,2cb8,8c5de914b2ac53d78e9e9eb850b0b16aeadfbf84203946e9dfc8e49051900bc9,Adulto,Pequena,244****,menos que $100,Desconhecido
1fbe469f,0,ccab,95322a68cbf893abf60643f9cbfb097b64d298b87e10ad9e5446fdb69a682091,Adulto,Sem familiares,349****,menos que $100,Desconhecido
edd3c223,0,ccab,bb0667a8564b30b9a7c7167351c5fa32417d162c1422467704a288ddabbdd1ae,Adulto,Sem familiares,349****,menos que $100,Desconhecido
e4c75400,0,aef6,a145c6dd8e024744502ac6651d73930432de491335ff3fed77ef7d4b27935139,Adulto,Pequena,352****,menos que $100,D
ffb25214,0,ccab,94b7d445be2864dfb7c0ce146990041a5bed205fec225e5302e6af136538f2f1,Adulto,Sem familiares,754****,menos que $100,Desconhecido
8d2a2c5b,0,ccab,ce266d8cf54ced57a717b9c25942b1a35790c4f60e104ffcab7126ba2f94244b,Adulto,Pequena,310****,menos que $100,Desconhecido
a09061f6,0,ccab,24de4e7f8c15451203293a086581e4135ac9668fc35f91a2ac5c25bb92a85f5a,Adulto,Sem familiares,349****,menos que $100,Desconhecido
cb0844f2,1,ccab,6af9137f04059257ff7dc846697167c06c880f56c49eea1801cfd436431bc957,Adulto,Sem familiares,343****,menos que $100,Desconhecido
d89ad708,1,ccab,3a44460fd60f20755f01dba39da2d3afe19ea6df3ca9c317f05d39cfaacaf595,Adulto,Sem familiares,312****,menos que $100,Desconhecido
d7fa7b46,0,ccab,2c1a0901724a88325ef94b3fa2eb0e6d5c1ba18432ed95813e26f368e22aae73,Adulto,Sem familiares,349****,menos que $100,Desconhecido
9c2a9755,1,ccab,53bc21c1b1c8ec485946cba676ad59e2f1ec29b122ff79a7a0d521a53c4bec31,Adulto,Pequena,371****,menos que $100,Desconhecido
dc9d2abd,0,aef6,77b81d22a0024611dbde32f9297c7bae0154610ba3f91d58f05e5cdac44c6597,Adulto,Sem familiares,110****,menos que $100,C
12ce464c,0,ccab,207cc5bf06e8cea4a33173e1f03dc31f730084283db0aaaf442e4fc4825a0180,Menor,Pequena,266****,menos que $100,Desconhecido
aa97efa2,0,ccab,1c3d1b82bd8d3cc44daa3e8300ad13cb8de5313356e8fdb1155c8f4bc8abf39f,Adulto,Sem familiares,324****,menos que $100,Desconhecido
31bd07f1,0,ccab,6be2c5918dc1a867a76bb1466fe4cf13526f67ce7ad6e62b0abc484cfef9aa87,Adulto,Pequena,413****,menos que $100,Desconhecido
39dcc7dc,0,ccab,e9295c2170b00f66d593d1c4ee578f91153bbe29debfee8368738e4ad7e64a81,Menor,Sem familiares,262****,menos que $100,Desconhecido
3053b4f9,0,ccab,960ce539e28f4986bec280c64ced9f012107e2bacc2326fbbf24166fae6cf71a,Adulto,Sem familiares,STO****,menos que $100,Desconhecido
eb0f8573,0,ccab,4e6d11601e4829005de85cd0964365f0a9eec5ef5050e2c2c532ce96b3c1654e,Senior,Sem familiares,370****,menos que $100,Desconhecido
edb799e2,0,2cb8,32218a63348bf6823d80c8cdcb13e282ae226160d7e10b6ec5bb7b63182d0b0f,Adulto,Pequena,116****,menos que $100,Desconhecido
4c68a098,0,aef6,49fce423debeacadd70a8288d2bedcc1baebfa783e0d79d0b58fee87b00d99c9,Adulto,Pequena,PC ****,$200-$300,B
7821be6e,0,ccab,bdde7a16157b60032bc90718cc527de51c2f2ad3357df86c76072c815f854041,Menor,Grande,347****,menos que $100,Desconhecido
4f358b1e,0,2cb8,238ea665082c1872893a4fd5737be1e67af93e7c3a363873153048b8c7f1cf5e,Adulto,Pequena,S.O****,menos que $100,Desconhecido
f765b047,0,ccab,ebd0ec9ed8c63edca99fa94238147752d1153e96798ac28ac4897dcc7df5921c,Adulto,Sem familiares,A4.****,menos que $100,Desconhecido
8f83e992,0,2cb8,c38fe780ad367666ae460a9220edc6b798152adc03778f1ff0be1452430b4043,Adulto,Pequena,237****,menos que $100,Desconhecido
536a4e3e,1,2cb8,974b9f353c2b21b1b537f09453a6c95904a94c63dde6e83a373ddf9b16f9953c,Adulto,Sem familiares,272****,menos que $100,E
03cd1db4,0,aef6,23f47f195d01f4e9077ee33e590a6a43c394a0ff518852a92311d17cf90a5868,Adulto,Pequena,352****,menos que $100,D
635d87e4,1,ccab,2322a1b843dc70a5d8c1cb4df44d78e62b40e251322749b809c2b860176366c1,Menor,Pequena,265****,menos que $100,Desconhecido
be012307,0,ccab,cebd06a4443b7a56518b2cb45b7d468d903230342d99d5119455fbc25fc73d96,Adulto,Sem familiares,370****,menos que $100,Desconhecido
1104c25e,1,ccab,5744212795ba512a6700342d3f38fd90658b013910931101adea432ee69f8fc6,Adulto,Sem familiares,C 1****,menos que $100,Desconhecido
05c26d33,1,ccab,71ee6023130ec23d9daa38746e35bdcda0d9f94973e27e22b6f65147cff68095,Adulto,Pequena,266****,menos que $100,F
6b31fc26,0,ccab,b01e8f660d6cffeb20efd703680356387dc4c93237f0239b37743ac9f30f00d1,Adulto,Sem familiares,347****,menos que $100,Desconhecido
4ea909cf,0,ccab,35cd24244a5fd222385ae35a5b1bda565e26be7e8cc49fdb7acaa7aee670b8ee,Adulto,Sem familiares,349****,menos que $100,Desconhecido
e43bcbb9,0,ccab,a6a4363709b3b096f8ca9be39ae82337d859ed51ea8fa0a911385d3f075a52ec,Adulto,Sem familiares,SOT****,menos que $100,Desconhecido
a5c62c1f,0,ccab,a92eb4593e9d736aca1e899a39e1e80b5924f7cd8aa0458f16a35a5271963320,Adulto,Pequena,A/5****,menos que $100,Desconhecido
2906ac31,1,2cb8,ab11516b28a4a51bd70a7bb0cf9e11fc3f14ae53994971066f532d9b4316b28c,Adulto,Pequena,228****,menos que $100,Desconhecido
26e73d3b,0,2cb8,0e4e9f7531be506ed74a07d3cb7c639510958c2b42907a8880f0a3e618899fdb,Adulto,Sem familiares,C.A****,menos que $100,Desconhecido
0f0b3d48,0,2cb8,7ad199a142cb507b2b713a8803ad693cb53f217401abe1afc336ca023ad6a7da,Adulto,Sem familiares,SC/****,menos que $100,Desconhecido
aa05bb93,1,aef6,b0d9142d1244b72f048bb906a13f6d2db26cd83b7734bc1acabe1e261df504b0,Adulto,Pequena,117****,menos que $100,D
0713471d,0,aef6,971c417e20d56b2d21234fb225857ba4ca43f23811b3a4003af138004dd97e44,Adulto,Pequena,113****,menos que $100,C
31d95643,0,ccab,e4b83352a48dbbd6af4f0c46ea23ad62cb777c721a8ea5dc2e08e05cf7eb374e,Menor,Sem familiares,753****,menos que $100,Desconhecido
9b6171ca,0,aef6,c3db8b380b5130015e90fdb0ff0a98e9e654e6a72190e26a442c5a0f64fbcb00,Adulto,Sem familiares,PC ****,menos que $100,B
858266c5,0,ccab,933aefef1d50a70451e11891d1c282af767c9cb3329b35033270822a0561b30b,Adulto,Pequena,267****,menos que $100,Desconhecido
5988e8f4,1,ccab,568b85866f8760092b93716e0b7abe1957eac473baa416df0b6cc7fd3e19fd3b,Adulto,Sem familiares,347****,menos que $100,Desconhecido
673d5094,1,ccab,81ac3910b37ba19b5cfb4318d4d081dfa1b444963d221b210842378896302669,Adulto,Pequena,STO****,menos que $100,Desconhecido
a86d0c25,0,ccab,49757ff7ac79d3d03b134b5cee0093828d952b256bbd76d8816311fb640c6202,Adulto,Sem familiares,365****,menos que $100,Desconhecido
ba30dca3,0,2cb8,1f48bc0c238c5c8d82f45a2a30bd49f8cc7e77836988bbf3f618b81e9325a92c,Adulto,Sem familiares,231****,menos que $100,Desconhecido
a97cc550,0,2cb8,e37cc1d4531e326056ebf750dedb1ffc03249c57320d9fec93adaa70caebc4b7,Adulto,Pequena,C.A****,menos que $100,Desconhecido
21984db2,1,ccab,891130f577c81e5f3e9afd58f71074c1442ef7d282d87807c25d9e9743969d78,Adulto,Sem familiares,350****,menos que $100,Desconhecido
f5e9c6e9,0,ccab,0c74869f278477153a46ad6400fc5f88a881436348b50b491a148706776d046a,Menor,Grande,W./****,menos que $100,Desconhecido
f583b672,0,2cb8,ce08fab47d91416990184fd08123b6d92af0b5aeb3a9a52c6f6b0e9c21622ea4,Adulto,Pequena,230****,menos que $100,F
b55c06c2,0,2cb8,c5afee5101e27df407698fef3954803e20192c1afd7e0fa6bb4fc63b4aceaf36,Adulto,Sem familiares,244****,menos que $100,Desconhecido
9c4b66b6,0,2cb8,ad1cfa19d58c158ee10f9fad0236b67db3c675f509e2e5ece5840578a34fe96f,Adulto,Sem familiares,S.O****,menos que $100,Desconhecido
a1eb2c1d,1,aef6,7e53dd0e52f79cf3fde3656a65562537c9e22c5b33ac5667ed3ce199e96076de,Adulto,Pequena,113****,menos que $100,C
64c5f2cd,0,ccab,6845f9ea4f187a5c84cd90ca46c63bf5b91cc6b778b614bc6e94107db03b9544,Adulto,Sem familiares,A.5****,menos que $100,Desconhecido
d7cd3185,0,ccab,4554dcb652981806f699e28c37166b18824f483125ee62cbd91900e1488e5232,Adulto,Pequena,A/5****,menos que $100,Desconhecido
540a5637,0,ccab,c34b449c5c61202f80e7e4a93d6213d8f0e7ffabcee69a2259d02168ba61e58a,Adulto,Sem familiares,Fa ****,menos que $100,Desconhecido
354c3197,0,aef6,ed1007011c080b8bfce9e30d70e9db1841b5885460f1ee5d2bb6c702014b773f,Adulto,Pequena,PC ****,menos que $100,Desconhecido
1c9739cc,1,ccab,4a766aabe403dbe5f8c1388f2a8ab55f04e3bf2ce70bf582457dceae134b8279,Menor,Sem familiares,358****,menos que $100,Desconhecido
f20c7b23,0,ccab,36eb660af8a0668a0704a8acdd617494bcf4ad3a7f736fb84a01000c6ec2312b,Adulto,Sem familiares,SOT****,menos que $100,Desconhecido
a61c362c,0,ccab,9f6dc6d1a2cb87e6fb1dc68356c5c8de4d33c04c0ef7003dedbd982cdb3e497b,Adulto,Sem familiares,315****,menos que $100,Desconhecido
e6efda77,0,ccab,4b75799c967abfec620dd7af20b9561a3ed9c05c8fb72ce1bb65c95739adcb76,Adulto,Grande,CA.****,menos que $100,Desconhecido
77143267,0,ccab,5c625066a977c9c3b48e121c40bd86df0e386f8e939faa6eae56f283c16ff6c7,Adulto,Pequena,371****,menos que $100,Desconhecido
b8d49aed,1,2cb8,2958bd7c28d8518c14334dd6dc0edfafad58193da010a7eaf1d4323af353070c,Adulto,Sem familiares,C.A****,menos que $100,Desconhecido
f1bc8431,0,ccab,a6a8c44e64465843bac9018c0f362e19f4ef45f6c94fbe15c67af4a41509aeed,Adulto,Sem familiares,347****,menos que $100,Desconhecido
0b7595b6,0,ccab,257f5ba008da5c81f9caa305b322db292465d95df34082b1edf210a1541eb43f,Menor,Sem familiares,315****,menos que $100,Desconhecido
25571eeb,0,ccab,15abde150e982caeb0681dca9118668c83837fed080821260e081a2952831d3f,Menor,Grande,310****,menos que $100,Desconhecido
59fe788c,1,ccab,1619733f6a78434d4a807002089d410fd197619319cc742430717d26beb7d3fc,Menor,Pequena,363****,menos que $100,Desconhecido
a37e300c,1,aef6,942f07ee3708d779bdfbeef726b9c9ebfdcea3ebb3582e3211cfce819e6d1ec4,Adulto,Pequena,113****,menos que $100,E
25b44985,0,ccab,2a001f6f99979bfbd2f7f6820efd633efe44bfa9a47e8e230deb7c76a8d6eafc,Adulto,Grande,347****,menos que $100,Desconhecido
aa2d66fa,0,aef6,f1e5a48ec35dbcf23093ccdd05498cf5f04fccac663f660508f9a3d344786fa4,Adulto,Sem familiares,PC ****,menos que $100,Desconhecido
