PassengerId,Survived,Pclass,Age,SibSp,Parch,Ticket,Fare,Cabin,Name_Hash
46,0,3,28,0,0,S.C./A.4. 23567,8.05,Desconhecido,948059af095aeab46b1f485a4a651dc0f0b15c7a2d3018a3a3fd0289fc8405b3
47,0,3,28,1,0,370371,15.5,Desconhecido,19162f22b5b37d80f0bcb6ba2b2827af0350ec0ce6fba58d5a455ddca703ae11
48,1,3,28,0,0,14311,7.75,Desconhecido,d03167f994a160269f2077e4b10296189323398b05a0b808277f7e2fb872fd5f
49,0,3,28,2,0,2662,21.6792,Desconhecido,845d62b13b6cff71d4197c60add7d4c5118f4f193a1a8422be5286943ceb48f1
50,0,3,18,1,0,349237,17.8,Desconhecido,7cbc41b6305f0782a80cad21c5666eb834c16384d999dab18dfead596c2b212e
51,0,3,7,4,1,3101295,39.6875,Desconhecido,0d4593e30fc208cc162a4938fe45f70b7a9b40fea1a9914d5089fd1e90752c24
52,0,3,21,0,0,A/4. 39886,7.8,Desconhecido,fc6d619d29b6ce0e210862fb2bc7943a513cfa091e2c06b0cb7b0ed09e093b0e
53,1,1,49,1,0,PC 17572,76.7292,D33,fc2e90ad932dad20c671dafaf86f97695f4d82038177490d07628b8b2366ee9c
54,1,2,29,1,0,2926,26.0,Desconhecido,2795be351ed14d6d87bfbb867df434a3edf5a8ac99531a54bed61343a25090b0
55,0,1,65,0,1,113509,61.9792,B30,15ae69e7bad0a060a91736f840c755b9483767d0d3e3e5198ced8dc821d31a72
56,1,1,28,0,0,19947,35.5,C52,56ca84cb0ce589e21e779e275558c11bd4eba5e14622460ee7ef06aa715f53b8
57,1,2,21,0,0,C.A. 31026,10.5,Desconhecido,e9897dbe2460192fe2d62f26a0c69cf35158b5b45c8a4a00ca92a8b606cf3665
58,0,3,28,0,0,2697,7.2292,Desconhecido,323a74bf10721b106be346ec0e59279fb4b80c1d16f94c841aceddf81167bfab
59,1,2,5,1,2,C.A. 34651,27.75,Desconhecido,aa415d27459cd66750277470181d63fb8a9e2bd53694376aac9e1128d5fa071e
60,0,3,11,5,2,CA 2144,46.9,Desconhecido,11080a6e9e6ca10663d4e19ababc157e25af639a4f3240bd997aff833463893c
61,0,3,22,0,0,2669,7.2292,Desconhecido,32fdbc06c8dbff40d82b2a4ecd4ccf00e4dd12c0c410d6c707a7980c314f4050
62,1,1,38,0,0,113572,80.0,B28,e8968ac483e79ae687f6d53b2ea80da4bfe12af18f211f689c84e91f665821ac
63,0,1,45,1,0,36973,83.475,C83,206d26800aafbd90094ca5181df504a731dc81a916a4b7af473567ba9ee34b4b
64,0,3,4,3,2,347088,27.9,Desconhecido,59630cd336a9654546a229ff5949b0d8ebb941d6e9b045f05c9e8ac0a6066551
65,0,1,28,0,0,PC 17605,27.7208,Desconhecido,109f1a6407f4671dd1f51ab3b8eeff07585b847ed2ab0d2bf2c35e5bf9593f67
66,1,3,28,1,1,2661,15.2458,Desconhecido,84a1c27c4a9345036d80eb425730f20ca776503dc2cba5199f56d59506afc5ce
67,1,2,29,0,0,C.A. 29395,10.5,F33,6c2ddd0ac08a7d874b88e9e20a162f75c4153f28ff88d7304cfe3ddcd72eb513
68,0,3,19,0,0,S.P. 3464,8.1583,Desconhecido,8b61c0f65902fd9087a1e95349e0ed678d49d6d333f180b9cb95dc9cc9a2eb16
69,1,3,17,4,2,3101281,7.925,Desconhecido,262b2e0445a9173c3cc2d6690685f95c0df645de68210971dc6d65c982e9473f
70,0,3,26,2,0,315151,8.6625,Desconhecido,c71b18eba35e185008a46c094f2d51ba06a03ef041dbb18b934b121608fe52b3
71,0,2,32,0,0,C.A. 33111,10.5,Desconhecido,321b1bba1cdb0897b92b3c92ae84a0a32545c7d66cab09dbddeaa4df79182da4
72,0,3,16,5,2,CA 2144,46.9,Desconhecido,d3292de2a5efad9981bb21b8c8cde27549adcb2e860995004c51ff1db4096f02
73,0,2,21,0,0,S.O.C. 14879,73.5,Desconhecido,0431676acb1f1c6d5a31a6a2a2cea89733897034da76ad98ce6761741124de97
74,0,3,26,1,0,2680,14.4542,Desconhecido,0f7cbe8dd69e8d05b77c3da1548385cefeb7b047907fb5e6b2bee7680334f1cd
75,1,3,32,0,0,1601,56.4958,Desconhecido,a9548df69c75f7d296fd517b1825a6285fb7292ed90e5c122462b410c1371f54
76,0,3,25,0,0,348123,7.65,F G73,668c6be42da0370b86ef1e25d34cbcd3864b9e9fc581c0e53fb5c9cdf3d820ff
77,0,3,28,0,0,349208,7.8958,Desconhecido,50c8f0211b1f997a5a848903617cd8c3cdfc74beb171d23133555feaf8127d7e
78,0,3,28,0,0,374746,8.05,Desconhecido,bcee2fbf427a938cebbaf64c44564ecceefff268aaf15b30c5983391ebf03964
79,1,2,0,0,2,248738,29.0,Desconhecido,3709e8b19f07f8f2ea619ca0d9cbca364ce2d1d7a49e1b7414f6835ff9757dc8
80,1,3,30,0,0,364516,12.475,Desconhecido,da555c60993efaa966dcd10803eb3f17d87b3b97fc01c5ec068d6eb00eebbd84
81,0,3,22,0,0,345767,9.0,Desconhecido,2b698c783cf27c5bc0d22375b6f525a18aac6dc7e685f7825f42e713fd203838
82,1,3,29,0,0,345779,9.5,Desconhecido,2d273a02484d1bbc00b1d97499ae8eccd517900a51d809594b656c31f51eb539
83,1,3,28,0,0,330932,7.7875,Desconhecido,c5bb95fb41a3d9a6e9c0e488569f4607e1c8269307c9d26070e5658d9105326b
84,0,1,28,0,0,113059,47.1,Desconhecido,136caeea1e39bfbf48801dcdb134289dba124a93474fe79ccfa787c58ed6431a
85,1,2,17,0,0,SO/C 14885,10.5,Desconhecido,cad5ffa5491cacbeb9134835f61a59233b3594b447912a451fd8592d28190ed2
86,1,3,33,3,0,3101278,15.85,Desconhecido,4929ebd3ba0cea037934d94ab40237ee888a7b53da6f866ab4e632d1a3f97528
87,0,3,16,1,3,W./C. 6608,34.375,Desconhecido,104ffc72fba68da04329a8f15ba165d3d31773538ed86ad21a8c0302d6d86bae
88,0,3,28,0,0,SOTON/OQ 392086,8.05,Desconhecido,95f0ef7b267afab13dfda6dd29245335503d5534a2c449691b8a3d8cba798fd7
89,1,1,23,3,2,19950,263.0,C23 C25 C27,10fa7807e7b9c9de8dd6a165e968063221a627f964b96f9d8a76c1317664415e
90,0,3,24,0,0,343275,8.05,Desconhecido,e34e0d5b6db321f82bfc6bcc5c6fa1c5da67254f98c8f378e9dc7af97d283131
91,0,3,29,0,0,343276,8.05,Desconhecido,c5ce7b6c2c88fccd3c181835fa041a37b28b2783f0a1308e4dfd73dfe0b27007
92,0,3,20,0,0,347466,7.8542,Desconhecido,da51bb2939e2c5a03b49415d9e11677303c9b39b599d6e70226f94b84a5b6a99
93,0,1,46,1,0,W.E.P. 5734,61.175,E31,a1a93e10b9bc02105c655d58d34aba0fa00508773df65f3bb81ebbb72d3e4005
94,0,3,26,1,2,C.A. 2315,20.575,Desconhecido,6aa8c97475d9ffa63dcebe64151a85b75dfdecd0398f655a608a08bf2a0ff3d2
95,0,3,59,0,0,364500,7.25,Desconhecido,449061468fc871930ec499b5508ed2270219300c4c6374e1a6d0ece018c47c0f
96,0,3,28,0,0,374910,8.05,Desconhecido,dc66d7cd271fcd2310eb82666aa6ea00ca76bb7304f46313b5acf145d45f50fd
97,0,1,71,0,0,PC 17754,34.6542,A5,8cd0678d28a86176fe815a682bca72562de08937e1d603e6422cc1d38a1bee77
98,1,1,23,0,1,PC 17759,63.3583,D10 D12,1f6fff5b9bdd16101060e15988b9bd2639124da6e3796b95cfd7f58ab3fca2ef
99,1,2,34,0,1,231919,23.0,Desconhecido,9d837a1f3bf724c314f8d1840c4651a1f10ed7ff27654d00a8da763b53f98fae
100,0,2,34,1,0,244367,26.0,Desconhecido,8c5de914b2ac53d78e9e9eb850b0b16aeadfbf84203946e9dfc8e49051900bc9
101,0,3,28,0,0,349245,7.8958,Desconhecido,95322a68cbf893abf60643f9cbfb097b64d298b87e10ad9e5446fdb69a682091
102,0,3,28,0,0,349215,7.8958,Desconhecido,bb0667a8564b30b9a7c7167351c5fa32417d162c1422467704a288ddabbdd1ae
103,0,1,21,0,1,35281,77.2875,D26,a145c6dd8e024744502ac6651d73930432de491335ff3fed77ef7d4b27935139
104,0,3,33,0,0,7540,8.6542,Desconhecido,94b7d445be2864dfb7c0ce146990041a5bed205fec225e5302e6af136538f2f1
105,0,3,37,2,0,3101276,7.925,Desconhecido,ce266d8cf54ced57a717b9c25942b1a35790c4f60e104ffcab7126ba2f94244b
106,0,3,28,0,0,349207,7.8958,Desconhecido,24de4e7f8c15451203293a086581e4135ac9668fc35f91a2ac5c25bb92a85f5a
107,1,3,21,0,0,343120,7.65,Desconhecido,6af9137f04059257ff7dc846697167c06c880f56c49eea1801cfd436431bc957
108,1,3,28,0,0,312991,7.775,Desconhecido,3a44460fd60f20755f01dba39da2d3afe19ea6df3ca9c317f05d39cfaacaf595
109,0,3,38,0,0,349249,7.8958,Desconhecido,2c1a0901724a88325ef94b3fa2eb0e6d5c1ba18432ed95813e26f368e22aae73
110,1,3,28,1,0,371110,24.15,Desconhecido,53bc21c1b1c8ec485946cba676ad59e2f1ec29b122ff79a7a0d521a53c4bec31
111,0,1,47,0,0,110465,52.0,C110,77b81d22a0024611dbde32f9297c7bae0154610ba3f91d58f05e5cdac44c6597
112,0,3,14,1,0,2665,14.4542,Desconhecido,207cc5bf06e8cea4a33173e1f03dc31f730084283db0aaaf442e4fc4825a0180
113,0,3,22,0,0,324669,8.05,Desconhecido,1c3d1b82bd8d3cc44daa3e8300ad13cb8de5313356e8fdb1155c8f4bc8abf39f
114,0,3,20,1,0,4136,9.825,Desconhecido,6be2c5918dc1a867a76bb1466fe4cf13526f67ce7ad6e62b0abc484cfef9aa87
115,0,3,17,0,0,2627,14.4583,Desconhecido,e9295c2170b00f66d593d1c4ee578f91153bbe29debfee8368738e4ad7e64a81
116,0,3,21,0,0,STON/O 2. 3101294,7.925,Desconhecido,960ce539e28f4986bec280c64ced9f012107e2bacc2326fbbf24166fae6cf71a
117,0,3,70,0,0,370369,7.75,Desconhecido,4e6d11601e4829005de85cd0964365f0a9eec5ef5050e2c2c532ce96b3c1654e
118,0,2,29,1,0,11668,21.0,Desconhecido,32218a63348bf6823d80c8cdcb13e282ae226160d7e10b6ec5bb7b63182d0b0f
119,0,1,24,0,1,PC 17558,247.5208,B58 B60,49fce423debeacadd70a8288d2bedcc1baebfa783e0d79d0b58fee87b00d99c9
120,0,3,2,4,2,347082,31.275,Desconhecido,bdde7a16157b60032bc90718cc527de51c2f2ad3357df86c76072c815f854041
121,0,2,21,2,0,S.O.C. 14879,73.5,Desconhecido,238ea665082c1872893a4fd5737be1e67af93e7c3a363873153048b8c7f1cf5e
122,0,3,28,0,0,A4. 54510,8.05,Desconhecido,ebd0ec9ed8c63edca99fa94238147752d1153e96798ac28ac4897dcc7df5921c
123,0,2,32,1,0,237736,30.0708,Desconhecido,c38fe780ad367666ae460a9220edc6b798152adc03778f1ff0be1452430b4043
124,1,2,32,0,0,27267,13.0,E101,974b9f353c2b21b1b537f09453a6c95904a94c63dde6e83a373ddf9b16f9953c
125,0,1,54,0,1,35281,77.2875,D26,23f47f195d01f4e9077ee33e590a6a43c394a0ff518852a92311d17cf90a5868
126,1,3,12,1,0,2651,11.2417,Desconhecido,2322a1b843dc70a5d8c1cb4df44d78e62b40e251322749b809c2b860176366c1
127,0,3,28,0,0,370372,7.75,Desconhecido,cebd06a4443b7a56518b2cb45b7d468d903230342d99d5119455fbc25fc73d96
128,1,3,24,0,0,C 17369,7.1417,Desconhecido,5744212795ba512a6700342d3f38fd90658b013910931101adea432ee69f8fc6
129,1,3,28,1,1,2668,22.3583,F E69,71ee6023130ec23d9daa38746e35bdcda0d9f94973e27e22b6f65147cff68095
130,0,3,45,0,0,347061,6.975,Desconhecido,b01e8f660d6cffeb20efd703680356387dc4c93237f0239b37743ac9f30f00d1
131,0,3,33,0,0,349241,7.8958,Desconhecido,35cd24244a5fd222385ae35a5b1bda565e26be7e8cc49fdb7acaa7aee670b8ee
132,0,3,20,0,0,SOTON/O.Q. 3101307,7.05,Desconhecido,a6a4363709b3b096f8ca9be39ae82337d859ed51ea8fa0a911385d3f075a52ec
133,0,3,47,1,0,A/5. 3337,14.5,Desconhecido,a92eb4593e9d736aca1e899a39e1e80b5924f7cd8aa0458f16a35a5271963320
134,1,2,29,1,0,228414,26.0,Desconhecido,ab11516b28a4a51bd70a7bb0cf9e11fc3f14ae53994971066f532d9b4316b28c
135,0,2,25,0,0,C.A. 29178,13.0,Desconhecido,0e4e9f7531be506ed74a07d3cb7c639510958c2b42907a8880f0a3e618899fdb
136,0,2,23,0,0,SC/PARIS 2133,15.0458,Desconhecido,7ad199a142cb507b2b713a8803ad693cb53f217401abe1afc336ca023ad6a7da
137,1,1,19,0,2,11752,26.2833,D47,b0d9142d1244b72f048bb906a13f6d2db26cd83b7734bc1acabe1e261df504b0
138,0,1,37,1,0,113803,53.1,C123,971c417e20d56b2d21234fb225857ba4ca43f23811b3a4003af138004dd97e44
139,0,3,16,0,0,7534,9.2167,Desconhecido,e4b83352a48dbbd6af4f0c46ea23ad62cb777c721a8ea5dc2e08e05cf7eb374e
140,0,1,24,0,0,PC 17593,79.2,B86,c3db8b380b5130015e90fdb0ff0a98e9e654e6a72190e26a442c5a0f64fbcb00
141,0,3,28,0,2,2678,15.2458,Desconhecido,933aefef1d50a70451e11891d1c282af767c9cb3329b35033270822a0561b30b
142,1,3,22,0,0,347081,7.75,Desconhecido,568b85866f8760092b93716e0b7abe1957eac473baa416df0b6cc7fd3e19fd3b
143,1,3,24,1,0,STON/O2. 3101279,15.85,Desconhecido,81ac3910b37ba19b5cfb4318d4d081dfa1b444963d221b210842378896302669
144,0,3,19,0,0,365222,6.75,Desconhecido,49757ff7ac79d3d03b134b5cee0093828d952b256bbd76d8816311fb640c6202
145,0,2,18,0,0,231945,11.5,Desconhecido,1f48bc0c238c5c8d82f45a2a30bd49f8cc7e77836988bbf3f618b81e9325a92c
146,0,2,19,1,1,C.A. 33112,36.75,Desconhecido,e37cc1d4531e326056ebf750dedb1ffc03249c57320d9fec93adaa70caebc4b7
147,1,3,27,0,0,350043,7.7958,Desconhecido,891130f577c81e5f3e9afd58f71074c1442ef7d282d87807c25d9e9743969d78
148,0,3,9,2,2,W./C. 6608,34.375,Desconhecido,0c74869f278477153a46ad6400fc5f88a881436348b50b491a148706776d046a
149,0,2,36,0,2,230080,26.0,F2,ce08fab47d91416990184fd08123b6d92af0b5aeb3a9a52c6f6b0e9c21622ea4
150,0,2,42,0,0,244310,13.0,Desconhecido,c5afee5101e27df407698fef3954803e20192c1afd7e0fa6bb4fc63b4aceaf36
151,0,2,51,0,0,S.O.P. 1166,12.525,Desconhecido,ad1cfa19d58c158ee10f9fad0236b67db3c675f509e2e5ece5840578a34fe96f
152,1,1,22,1,0,113776,66.6,C2,7e53dd0e52f79cf3fde3656a65562537c9e22c5b33ac5667ed3ce199e96076de
153,0,3,55,0,0,A.5. 11206,8.05,Desconhecido,6845f9ea4f187a5c84cd90ca46c63bf5b91cc6b778b614bc6e94107db03b9544
154,0,3,40,0,2,A/5. 851,14.5,Desconhecido,4554dcb652981806f699e28c37166b18824f483125ee62cbd91900e1488e5232
155,0,3,28,0,0,Fa 265302,7.3125,Desconhecido,c34b449c5c61202f80e7e4a93d6213d8f0e7ffabcee69a2259d02168ba61e58a
156,0,1,51,0,1,PC 17597,61.3792,Desconhecido,ed1007011c080b8bfce9e30d70e9db1841b5885460f1ee5d2bb6c702014b773f
157,1,3,16,0,0,35851,7.7333,Desconhecido,4a766aabe403dbe5f8c1388f2a8ab55f04e3bf2ce70bf582457dceae134b8279
158,0,3,30,0,0,SOTON/OQ 392090,8.05,Desconhecido,36eb660af8a0668a0704a8acdd617494bcf4ad3a7f736fb84a01000c6ec2312b
159,0,3,28,0,0,315037,8.6625,Desconhecido,9f6dc6d1a2cb87e6fb1dc68356c5c8de4d33c04c0ef7003dedbd982cdb3e497b
160,0,3,28,8,2,CA. 2343,69.55,Desconhecido,4b75799c967abfec620dd7af20b9561a3ed9c05c8fb72ce1bb65c95739adcb76
161,0,3,44,0,1,371362,16.1,Desconhecido,5c625066a977c9c3b48e121c40bd86df0e386f8e939faa6eae56f283c16ff6c7
162,1,2,40,0,0,C.A. 33595,15.75,Desconhecido,2958bd7c28d8518c14334dd6dc0edfafad58193da010a7eaf1d4323af353070c
163,0,3,26,0,0,347068,7.775,Desconhecido,a6a8c44e64465843bac9018c0f362e19f4ef45f6c94fbe15c67af4a41509aeed
164,0,3,17,0,0,315093,8.6625,Desconhecido,257f5ba008da5c81f9caa305b322db292465d95df34082b1edf210a1541eb43f
165,0,3,1,4,1,3101295,39.6875,Desconhecido,15abde150e982caeb0681dca9118668c83837fed080821260e081a2952831d3f
166,1,3,9,0,2,363291,20.525,Desconhecido,1619733f6a78434d4a807002089d410fd197619319cc742430717d26beb7d3fc
167,1,1,28,0,1,113505,55.0,E33,942f07ee3708d779bdfbeef726b9c9ebfdcea3ebb3582e3211cfce819e6d1ec4
168,0,3,45,1,4,347088,27.9,Desconhecido,2a001f6f99979bfbd2f7f6820efd633efe44bfa9a47e8e230deb7c76a8d6eafc
169,0,1,28,0,0,PC 17318,25.925,Desconhecido,f1e5a48ec35dbcf23093ccdd05498cf5f04fccac663f660508f9a3d344786fa4
170,0,3,28,0,0,1601,56.4958,Desconhecido,e688a6e1d87526a924d3bee542990e02b862e2305fb5a96d146e7435f2194bde
171,0,1,61,0,0,111240,33.5,B19,557b8e5bb11bfbc1a9fbfb1c5a8e05c26f8bd8bef6e7548b1f0f9902d0c77648
172,0,3,4,4,1,382652,29.125,Desconhecido,2be66c98bdc1fe03e351386f4f0fdf3018f55f56e65afc6fcb399461b4d410c8
173,1,3,1,1,1,347742,11.1333,Desconhecido,8cfaeb1855f2cc2ec222c7ddb8e90132d6eb6021266c23bdaf8384342869ca4e
174,0,3,21,0,0,STON/O 2. 3101280,7.925,Desconhecido,5dfc1e314b05449118b5f4a93407aa2f7731d126b6c9d55af2a0ae616d2dc6a2
175,0,1,56,0,0,17764,30.6958,A7,4d6fa0fc960db92015c4f93fe3a3cae38bc89944a46f9f61176cc95038bb7c94
176,0,3,18,1,1,350404,7.8542,Desconhecido,bebe25c09d54d85fc26f77e93a45a66dc78b231f0b0c9149166698be5bb96677
177,0,3,28,3,1,4133,25.4667,Desconhecido,19f875188724e3c6696a60a7c9424a2d9d3ac94b90e98b9235ae0b2b921348ca
178,0,1,50,0,0,PC 17595,28.7125,C49,a10d046191d3c028c95c288a5ed175239ab39096e6f420dc6c1315aa3f6c1747
179,0,2,30,0,0,250653,13.0,Desconhecido,5ee3e45641414b1d817b51ea9559d1f32879137e76e86ea7dfdaa35a81a9e5a2
180,0,3,36,0,0,LINE,0.0,Desconhecido,44254399ec3f0f53c12775b45e1e8983673ca60b5a1576907050db6b0e47316c
181,0,3,28,8,2,CA. 2343,69.55,Desconhecido,5222b037f6a33747066a2fc2c880f5dd738fa2cfb0648352a0db881cad1a38e6
182,0,2,28,0,0,SC/PARIS 2131,15.05,Desconhecido,7eb7d6da704b450db02f9afde92a237bd6170b27773611f3f404ce4b0b58200a
183,0,3,9,4,2,347077,31.3875,Desconhecido,9d51ca705324e6d71e36eece0a65888f8bc8c7b3c800744bc910059bf7998152
184,1,2,1,2,1,230136,39.0,F4,13c513f063011db90df6288835e41a7cf328a43971c470a216b0738203a7a946
185,1,3,4,0,2,315153,22.025,Desconhecido,d7e539adce3dbb5c8c88fd4c81b66ed40bc638eb81354e0cf5153cd80b7f0e69
186,0,1,28,0,0,113767,50.0,A32,f6c7ff1359515d1d67022e219d7d6364dea7ead3e86524f944124601856b42b4
187,1,3,28,1,0,370365,15.5,Desconhecido,ef52bd7f8e2e560a42f011ccc40fb840991ac939e7b00b1944ebcd6db78896af
188,1,1,45,0,0,111428,26.55,Desconhecido,4a8966e6c6b88b4895e0e1d3fce7e8135332454cbed4033a4a51c39f400c69cc
189,0,3,40,1,1,364849,15.5,Desconhecido,94a6896d3ba69f8d4eb531074d173ac0dbb548a82a2edde2ebf5021823368ca7
190,0,3,36,0,0,349247,7.8958,Desconhecido,4804f78f9d16ebc49c7332182c6b951b63247f25c596135b0fb1bc87f9638f7d
191,1,2,32,0,0,234604,13.0,Desconhecido,72fc9bde4521d0080deb81a72d4956e721a1e8613a8e579fff151942b0659f9b
192,0,2,19,0,0,28424,13.0,Desconhecido,bd5c580c401ee514140a30a2d6b3e6bbc4c05f798b25a494e0d96c867421d783
193,1,3,19,1,0,350046,7.8542,Desconhecido,709cfca378b0a3e3bd432337c86e9837265f299e94afa5c2b50bcfddcc281573
194,1,2,3,1,1,230080,26.0,F2,82074d04fdc23302828f6a3541fb116aeb8aa052e33e0e8dc406f5c8ef96c39a
195,1,1,44,0,0,PC 17610,27.7208,B4,8b3c56f26ad30522547fd93aa688a5f20aa7a6c21fc0014ecd4d29b606bda173
196,1,1,58,0,0,PC 17569,146.5208,B80,6191666fb0008c5ac0b198e7b4649c06e2b73519b25fc0e0a26eeb66464f49a8
197,0,3,28,0,0,368703,7.75,Desconhecido,bcb940ed46b916dd2a6692cfb7c4fd8ac96d6993f0fc5d0c0c2f1717ed5a2282
198,0,3,42,0,1,4579,8.4042,Desconhecido,e4333982eeefb7a3654578d78911d09a45b183fb4e048cfe73f8c0dfb1ff2724
